0,1,2
-2.2191465,6.354008,-2.7618165
6.38206,5.4739037,7.722188
4.233475,3.45492,5.7839217
7.034677,-1.4530305,9.794338
5.9113636,3.9873111,6.923051
4.2536697,10.685224,9.098903
5.084759,3.7908092,7.6107965
-2.0811496,6.211684,-2.9700456
4.975834,4.476563,2.2851224
1.8803887,4.5199986,3.7099082
6.005556,3.5761554,2.6808305
4.0422482,4.5171413,2.107957
7.242453,-1.5655242,9.775409
3.1325047,3.034858,2.5493705
3.463606,3.2497013,1.7871412
4.6507053,3.5904725,7.45685
4.0909758,6.1641936,3.33461
3.186267,3.9936376,3.9774256
2.6396902,7.034551,5.9217224
5.07694,4.2040353,3.6352403
3.6966333,6.046366,5.334326
5.1820393,3.6693897,7.7207856
6.004936,3.4508421,3.4237201
6.9590483,6.9574456,4.801686
3.1586196,4.687115,2.519846
6.5008807,4.7090573,7.0878043
3.6162508,3.6379554,1.9473077
5.969255,4.126412,5.6836677
4.2175775,2.9286869,5.7040386
4.6668873,10.81209,9.790802
2.492659,6.25638,4.242792
3.9165196,5.593559,3.2029803
4.8941355,5.1598086,3.4762237
2.7601674,4.239665,4.5212216
5.006795,5.880005,7.5036845
4.6154585,2.9018157,5.750179
2.0179288,7.4509397,0.23785673
6.744314,4.697641,5.154947
5.7897596,-2.6369565,-2.431124
5.671764,4.4505672,6.064222
5.7681065,3.6693408,6.988102
5.0496716,4.3347926,7.4825597
5.2890882,5.1931195,7.9979367
4.2478123,5.0411777,1.9427613
6.1142836,4.4487305,4.937015
6.726566,14.569021,3.5352688
3.830759,7.322233,5.6951656
1.9633645,4.523409,3.400839
4.111375,3.5135944,2.8811429
4.2912793,5.490103,2.2835362
4.837983,4.2975564,4.4546146
0.77686906,10.09655,-0.1022619
1.4701765,10.379367,0.37044516
3.7024238,7.1358995,3.3092735
4.7303767,3.7148635,7.923646
6.6404433,7.410111,7.11571
6.660771,7.3253016,7.140559
11.093969,10.276549,7.952055
3.7655406,4.640132,2.4495788
4.7962213,4.733062,2.1060476
5.717697,3.6245298,8.461849
5.8411508,3.781373,7.7234616
4.4358397,3.6111672,7.6132812
6.4622784,4.5506363,7.446319
5.8849273,5.807604,7.9623404
6.876527,8.186243,3.5643382
6.131877,9.504397,9.018909
6.123817,4.4616227,3.9886868
4.439987,6.6983314,1.2995564
6.939604,4.8527465,5.208941
-4.1321893,-1.1440634,4.0305114
6.9188886,4.3468738,4.2292967
6.6220093,4.7383347,5.6569176
6.559717,3.796806,9.958392
3.034404,3.3618913,3.0784419
3.596338,3.5958283,1.9941272
6.9525967,4.5247145,4.9275084
1.2754495,3.0700066,5.3090053
0.9714192,10.321033,0.042687654
3.3624911,5.924437,1.7386012
6.2258434,-2.377877,9.509116
2.9268467,3.6241071,2.6715074
3.9124236,3.758045,4.5793962
4.27103,3.0545373,6.274386
3.759462,7.0721455,3.288434
-1.6152122,6.4323463,-3.0940943
4.0908694,5.796238,4.308917
6.769064,7.1300197,5.7194095
2.5531952,6.844752,5.399492
4.8162346,5.054449,4.4843225
6.7412167,9.136352,4.18591
6.8464727,-1.1088605,9.312283
7.213056,7.944277,5.386977
6.8677673,-1.7963575,9.988831
5.8846292,3.6636157,6.3678665
5.1509485,10.313298,8.986613
-4.150279,-1.083138,3.5413947
3.0876815,4.962089,6.3582654
7.271996,5.5041833,1.7148637
8.998778,3.700397,8.329589
2.3758826,3.4631553,5.819071
3.6363578,3.5254002,1.8952504
3.7188733,3.186282,2.928779
5.487764,4.0065484,7.063495
6.429402,4.927921,7.1805983
3.4044914,5.047017,1.6293954
2.2916532,3.2547996,7.6584287
4.9728923,3.393127,7.8738737
6.949681,8.482727,4.121883
3.6468356,4.032557,7.375113
4.7001796,3.5916796,7.653201
