0,1,2,cl_label
-2.2191465,6.354008,-2.7618165,2
6.38206,5.4739037,7.722188,4
4.233475,3.45492,5.7839217,5
7.034677,-1.4530305,9.794338,4
5.9113636,3.9873111,6.923051,4
4.2536697,10.685224,9.098903,1
5.084759,3.7908092,7.6107965,4
-2.0811496,6.211684,-2.9700456,2
4.975834,4.476563,2.2851224,3
1.8803887,4.5199986,3.7099082,5
6.005556,3.5761554,2.6808305,5
4.0422482,4.5171413,2.107957,3
7.242453,-1.5655242,9.775409,1
3.1325047,3.034858,2.5493705,3
3.463606,3.2497013,1.7871412,3
4.6507053,3.5904725,7.45685,4
4.0909758,6.1641936,3.33461,3
3.186267,3.9936376,3.9774256,5
2.6396902,7.034551,5.9217224,4
5.07694,4.2040353,3.6352403,5
3.6966333,6.046366,5.334326,4
5.1820393,3.6693897,7.7207856,4
6.004936,3.4508421,3.4237201,5
6.9590483,6.9574456,4.801686,4
3.1586196,4.687115,2.519846,3
6.5008807,4.7090573,7.0878043,4
3.6162508,3.6379554,1.9473077,3
5.969255,4.126412,5.6836677,4
4.2175775,2.9286869,5.7040386,5
4.6668873,10.81209,9.790802,1
2.492659,6.25638,4.242792,5
3.9165196,5.593559,3.2029803,3
4.8941355,5.1598086,3.4762237,3
2.7601674,4.239665,4.5212216,3
5.006795,5.880005,7.5036845,4
4.6154585,2.9018157,5.750179,5
2.0179288,7.4509397,0.23785673,4
6.744314,4.697641,5.154947,4
5.7897596,-2.6369565,-2.431124,4
5.671764,4.4505672,6.064222,4
5.7681065,3.6693408,6.988102,4
5.0496716,4.3347926,7.4825597,4
5.2890882,5.1931195,7.9979367,4
4.2478123,5.0411777,1.9427613,3
6.1142836,4.4487305,4.937015,4
6.726566,14.569021,3.5352688,3
3.830759,7.322233,5.6951656,4
1.9633645,4.523409,3.400839,3
4.111375,3.5135944,2.8811429,3
4.2912793,5.490103,2.2835362,3
4.837983,4.2975564,4.4546146,5
0.77686906,10.09655,-0.1022619,3
1.4701765,10.379367,0.37044516,4
3.7024238,7.1358995,3.3092735,3
4.7303767,3.7148635,7.923646,4
6.6404433,7.410111,7.11571,3
6.660771,7.3253016,7.140559,4
